InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.Stats.MulticastPacketsSent 	0	0	xsd:string
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.Stats.PacketsReceived 	0	0	xsd:string
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.Stats.PacketsSent 	0	0	xsd:string
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.Stats.UnicastPacketsReceived 	0	0	xsd:string
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.Stats.UnicastPacketsSent 	0	0	xsd:string
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.Stats.UnknownProtoPacketsReceived 	0	0	xsd:string
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.3.Status 	 NoLink	0	xsd:string
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.DuplexMode 	 Auto	1	xsd:string
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.Enable 	1	1	xsd:boolean
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.MACAddress 	 8C:10:D4:30:FF:79	0	xsd:string
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.MACAddressControlEnabled 	0	1	xsd:boolean
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.MaxBitRate 	 Auto	1	xsd:string
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.Name 	 eth4	0	xsd:string
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.Stats.BroadcastPacketsReceived 	0	0	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.Stats.BroadcastPacketsSent 	0	0	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.Stats.BytesReceived 	0	0	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.Stats.BytesSent 	0	0	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.Stats.DiscardPacketsReceived 	0	0	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.Stats.DiscardPacketsSent 	0	0	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.Stats.ErrorsReceived 	0	0	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.Stats.ErrorsSent 	0	0	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.Stats.MulticastPacketsReceived 	0	0	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.Stats.MulticastPacketsSent 	0	0	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.Stats.PacketsReceived 	0	0	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.Stats.PacketsSent 	0	0	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.Stats.UnicastPacketsReceived 	0	0	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.Stats.UnicastPacketsSent 	0	0	xsd:unsignedInt
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.4.Stats.UnknownProtoPacketsReceived 	0	0	xsd:unsignedInt
